hanzi,pinyin,english,page
委屈,wěiqu,adj. wronged; v. to wrong someone,146
委婉,wěiwǎn,euphemistic; tactful,146
委员,wěiyuán,committee member,146
委员会,wěiyuánhuì,committee,146
萎缩,wěisuō,to shrink; to shrivel,146
卫视,wèishì,satellite TV,146
未,wèi,not yet,146
未成年人,wèichéngniánrén,minor; underage person,146
未经,wèijīng,not having undergone; without,146
未免,wèimiǎn,unavoidably,146
未知数,wèizhīshù,unknown number,146
位子,wèizi,seat,146
味精,wèijīng,monosodium glutamate,146
畏惧,wèijù,to fear,146
畏缩,wèisuō,to shrink; to recoil,146
胃口,wèikǒu,appetite,146
喂养,wèiyǎng,to feed,146
慰劳,wèiláo,to show appreciation by kind words or small gifts,146
温度计,wēndùjì,thermometer,146
温泉,wēnquán,spa; hot springs,146
温柔,wēnróu,gentle,146
温室,wēnshì,greenhouse,146
温习,wēnxí,to review,146
温馨,wēnxīn,warm,146
瘟疫,wēnyì,plague,147
文,wén,arts,147
文具,wénjù,stationery,147
文科,wénkē,liberal arts,147
文盲,wénmáng,illiterate person,147
文凭,wénpíng,diploma,147
文人,wénrén,literati,147
文物,wénwù,cultural relic,147
文献,wénxiàn,literature; document,147
文雅,wényǎ,elegant,147
闻名,wénmíng,to know somebody by reputation,147
蚊帐,wénzhàng,mosquito net,147
蚊子,wénzi,mosquito,147
吻,wěn,n. kiss; v. to kiss,147
吻合,wěnhé,congruent; identical,147
紊乱,wěnluàn,disordered,147
稳固,wěngù,adj. stable; v. to stabilize,147
稳健,wěnjiàn,steady; firm,147
稳妥,wěntuǒ,safe,147
稳重,wěnzhòng,steady; staid,147
问卷,wènjuàn,questionnaire,147
问世,wènshì,to come out; to be published,147
窝,wō,nest,147
卧,wò,to lie,147
污秽,wūhuì,adj. filthy; n. dirt; filth,147
巫婆,wūpó,witch,147
呜咽,wūyè,to whimper,147
屋顶,wūdǐng,roof,147
无比,wúbǐ,matchless,147
无不,wúbù,all; without exception,147
无偿,wúcháng,at no cost,148
无敌,wúdí,to be invincible,148
无恶不作,wú'èbúzuò,to commit all sorts of crimes,148
无非,wúfēi,nothing but; simply,148
无辜,wúgū,adj. innocent; n. innocence,148
无故,wúgù,for no reason,148
无关紧要,wúguānjǐnyào,of no importance; immaterial,148
无话可说,wúhuàkěshuō,nothing to say,148
无济于事,wújìyúshì,to no avail; of no use,148
无家可归,wújiākěguī,homeless,148
无精打采,wújīngdǎcǎi,dull and colorless; not lively,148
无可奉告,wúkěfènggào,no comment,148
无可厚非,wúkěhòufēi,understandable; not altogether inexcusable,148
无可奈何,wúkěnàihé,to be utterly helpless,148
无理,wúlǐ,to be unreasonable,148
无力,wúlì,to be powerless,148
无论如何,wúlùnrúhé,anyway; at any rate,148
无能,wúnéng,incapable,148
无能为力,wúnéngwéilì,powerless,148
无情,wúqíng,ruthless,148
无情无义,wúqíngwúyì,cold and ruthless,148
无穷,wúqióng,to be endless,148
无私,wúsī,selfless,148
无所事事,wúsuǒshìshì,to have nothing to do; to fritter one's time away,148
无所作为,wúsuǒzuòwéi,to attempt nothing and accomplish nothing; feckless,148
无条件,wútiáojiàn,unconditional,148
无微不至,wúwēibúzhì,meticulous,148
无线,wúxiàn,wireless,148
无线电,wúxiàndiàn,radio,148
无形,wúxíng,invisible,149
无形中,wúxíngzhōng,virtually; imperceptibly,149
无须,wúxū,needlessly,149
无意,wúyì,v. to have no intention of; adv. Accidental,149
无忧无虑,wúyōuwúlǜ,carefree,149
无缘,wúyuán,v. to not have the luck or opportunity (to do); adv. no chance,149
无知,wúzhī,ignorant,149
无足轻重,wúzúqīngzhòng,of little importance,149
五花八门,wǔhuābāmén,diverse; myriad,149
五星级,wǔxīngjí,five-star,149
武力,wǔlì,force,149
武装,wǔzhuāng,n. armed forces; v. to arm,149
侮辱,wǔrǔ,to insult,149
捂,wǔ,to cover,149
舞厅,wǔtīng,ballroom,149
勿,wù,do not,149
务必,wùbì,be sure to,149
务实,wùshí,pragmatic,149
物流,wùliú,logistics,149
物体,wùtǐ,object,149
物证,wùzhèng,physical evidence,149
物资,wùzī,goods and materials,149
误差,wùchā,error,149
误导,wudǎo,to mislead,149
误区,wùqū,misunderstanding; misconception,149
雾,wù,fog,149
吸纳,xīnà,to absorb,149
吸取,xīqǔ,to take in,149
昔日,xīrì,in former days,149
息息相关,xīxīxiāngguān,interrelated,150
稀,xī,watery; sparse,150
稀罕,xīhan,adj. rare; v. to value as a rarity,150
稀奇,xīqí,strange; curious,150
稀少,xīshǎo,rare,150
锡,xī,tin,150
熙熙攘攘,xīxīrǎngrǎng,bustling,150
熄火,xīhuǒ,to put out a flame; to die down,150
膝盖,xīgài,knee,150
嬉笑,xīxiào,to laugh and play,150
习俗,xísú,custom,150
席,xí,seat,150
席位,xíwèi,seat,150
袭击,xíjī,to make a surprise attack,150
媳妇,xífu,daughter-in-law,150
洗涤剂,xǐdíjì,detergent,150
洗礼,xǐlǐ,baptism,150
喜出望外,xǐchūwàngwài,pleasantly surprised; overjoyed,150
喜好,xǐhào,v. to be fond of; n. preference,150
喜酒,xǐjiǔ,wedding feast; alcoholic drinks at a wedding,150
喜怒哀乐,xǐnùāilè,the whole gamut of human emotion,150
喜庆,xǐqìng,adj. joyous; n. happy event,150
喜事,xǐshì,happy event,150
喜糖,xǐtáng,candies distributed at a wedding,150
喜洋洋,xǐyángyáng,radiantly happy,150
喜悦,xǐyuè,joyous,150
细腻,xìnì,exquisite,150
细微,xìwēi,subtle,150
细心,xìxīn,careful,150
虾,xiā,shrimp,150
瞎,xiā,adj. blind; adv. blindly,151
侠义,xiíyì,chivalrous,151
峡谷,xiágǔ,canyon,151
狭隘,xiá'ài,narrow,151
狭小,xiáxiǎo,narrow,151
狭窄,xiázhǎi,narrow,151
下场,xiàchǎng,a bad end; a sorry state,151
下跌,xiàdiē,"to decline (of water level, prices, etc.)",151
下岗,xiàgǎng,to be laid off,151
下功夫,xià gōngfu,to put in time and energy,151
下海,xiàhǎi,to leave one's job to go into business,151
下级,xiàjí,subordinate,151
下决心,xià juéxīn,to resolve to,151
下令,xiàlìng,to order,151
下落,xiàluò,whereabouts,151
下期,xià qī,next period,151
下棋,xiàqí,play a chess,151
下山,xiàshān,to go down a hill; (of the sun) to set,151
下手,xiàshǒu,to start doing something,151
下属,xiàshǔ,subordinate,151
下台,xiàtái,to step down (from office),151
下调,xiàtiáo,"to lower (prices, standards, etc.)",151
下乡,xiàxiāng,to go to the countryside,151
下旬,xiàxún,last ten-day period of a month,151
下一代,xià yí dài,next generation,151
下意识,xiàyì∙shí,n. subconsciousness; adv. subconsciously,151
下游,xiàyòu,downstream,151
下坠,xiàzhuì,to fall,151
吓唬,xiàhu,to frighten,151
吓人,xiàrén,scary,151
夏令营,xiàlìngyíng,summer camp,152
仙鹤,xiānhè,crane (Grus japonensis),152
仙女,xiānnǚ,fairy,152
先例,xiānlì,precedent,152
先天,xiāntiān,innate; congenital,152
纤维,xiānwéi,fiber,152
掀,xiān,to lift,152
掀起,xiānqǐ,to set off; to begin,152
鲜活,xiānhuó,vivid; (of food) fresh or live,152
鲜美,xiānměi,delicious,152
鲜血,xiānxuè,blood,152
弦,xián,string,152
衔接,xiánjiē,to connect,152
嫌弃,xiánqì,to dislike,152
嫌疑,xiányí,suspicion,152
显而易见,xiǎn'éryìjiàn,obviously,152
显赫,xiǎnhè,illustrious,152
显示器,xiǎnshìqì,monitor (computer),152
显现,xiǎnxiàn,to appear,152
显眼,xiǎnyǎn,conspicuous,152
现成,xiànchéng,ready-made,152
现任,xiànrèn,v. to hold office; adj. incumbent,152
现行,xiànxíng,in force,152
限,xiàn,to limit,152
限定,xiàndìng,to limit; to restrict,152
限度,xiàndù,limit; limitation,152
限于,xiànyú,to be limited to,152
线条,xiàntiáo,line,152
宪法,xiànfǎ,constitution,152
陷,xiàn,to trap,152
陷阱,xiànjǐng,trap,153
馅儿,xiànr,stuffing,153
羡慕,xiànmù,to envy,153
献血,xiànxiě,to donate blood,153
腺,xiàn,gland,153
乡亲,xiāngqīn,fellow countryman (from the same village),153
乡下,xiāngxià,countryside,153
相伴,xiāngbàn,to accompany,153
相比之下,xiāngbǐ zhī xià,by comparison,153
相差,xiāngchà,to differ,153
相传,xiāngchuán,to pass on; to hand down,153
相当于,xiāngdāngyú,to be equivalent to,153
相对,xiāngduì,v. to face; adj. relative,153
相对而言,xiāngduìéryán,relatively speaking,153
相辅相成,xiāngfǔxiāngchéng,to complement one another,153
相继,xiāngjì,one after another,153
相连,xiānglián,to be connected,153
相识,xiāngshí,to be acquainted with someone,153
相提并论,xiāngtíbìnglùn,to place on par with; to mention in the same breath,153
相通,xiāngtōng,to be interlinked,153
相依为命,xiāngyīwéimìng,to depend on each other for survival,153
相遇,xiāngyù,to encounter,153
相约,xiāngyuē,"to agree (on meeting place, date, etc.)",153
香料,xiāngliào,spices,153
香水,xiāngshuǐ,perfume,153
香味,xiāngwèi,fragrance,153
香烟,xiāngyān,cigarette,153
香油,xiāngyóu,sesame oil,153
镶,xiāng,to inlay,153
镶嵌,xiāngqiàn,to inlay,154
详尽,xiángjìn,detailed,154
祥和,xiánghé,auspicious and peaceful,154
享,xiǎng,to enjoy,154
享有,xiǎngyǒu,"to enjoy (rights, prestige, etc.)",154
响亮,xiǎngliàng,loud and clear,154
响起,xiǎngqǐ,to emit sound,154
响应,xiǎngyìng,to respond,154
想方设法,xiǎngfāngshèfǎ,to think up every possible method,154
向来,xiànglái,always,154
向往,xiàngwǎng,to yearn for,154
向着,xiàngzhe,to turn towards,154
项链,xiàngliàn,necklace,154
像,xiàng,likeness; picture,154
像样,xiàngyàng,decent; presentable,154
橡胶,xiàngjiāo,rubber,154
橡皮,xiàngpí,eraser,154
削,xiāo,to cut; to peel with a knife,154
消,xiāo,to remove; to disappear,154
消沉,xiāochén,depressed,154
消遣,xiāoqiǎn,to divert oneself; to while away the hourse,154
萧条,xiāotiáo,desolate; bleak,154
销,xiāo,to sell; to cancel,154
销毁,xiāohuǐ,"to destroy by melting, burning, etc.",154
销量,xiāoliàng,sales volume,154
潇洒,xiāosǎ,(of a person's demeanour) free and easy,154
小丑,xiǎochǒu,clown,154
小贩,xiǎofàn,hawker,154
小看,xiǎokàn,to underestimate,154
小康,xiǎokāng,well-off,154
小路,xiǎolù,"path, lane",155
小品,xiǎopǐn,sketch; skit,155
小气,xiǎoqi,mean; stingy,155
小区,xiǎoqū,community,155
小曲,xiǎoqǔ,popular tune,155
小人,xiǎorén,villain,155
小提琴,xiǎotíqín,violin,155
小溪,xiǎoxī,creek,155
小心翼翼,xiǎoxīnyiyì,very cautiously,155
小卒,xiǎozú,a nobody,155
孝敬,xiàojìng,to show filial respect to elders,155
孝顺,xiào∙shùn,filial piety,155
肖像,xiàoxiàng,portrait,155
效仿,xiàofǎng,to imitate,155
效力,xiàolì,effect,155
效益,xiàoyì,benefit,155
效应,xiàoyìng,effect,155
协定,xiédìng,n. agreement; v. to reach an agreement,155
协同,xiétóng,to collaborate,155
协作,xiézuò,to cooperate,155
邪,xié,evil,155
邪恶,xié'è,wicked,155
挟持,xiéchí,to hold under duress,155
携带,xiédài,to carry,155
携手,xiéshǒu,to join hands,155
写照,xiězhào,v. to portray; n. portrait,155
泄,xiè,to vent,155
泄漏,xièlòu,(of liquid or gas) to leak,155
泄露,xièlòu,to leak (information),155
泄密,xièmì,to divulge a secret,155
泄气,xièqì,to feel discouraged,156
泻,xiè,to have diarrhea,156
卸,xiè,to unload,156
心爱,xīn'ài,beloved,156
心安理得,xīn'ānlǐdé,to have a clear conscience,156
心病,xīnbìng,heart disease,156
心肠,xīncháng,heart,156
心得,xīndé,experience; understanding,156
心慌,xīnhuāng,to be flustered,156
心急如焚,xīnjírúfén,burning with impatience,156
心里话,xīnlǐhuà,one's innermost thoughts and feelings,156
心灵手巧,xīnlíngshǒuqiǎo,clever,156
心目,xīnmù,frame of mind,156
心声,xīnshēng,heartfelt wishes; inner voice,156
心事,xīnshì,worries; something weight on one's mind,156
心思,xīnsi,thought,156
心酸,xīnsuān,to be grieved,156
心想事成,xīnxiǎngshìchéng,May all your wishes come true.,156
心胸,xīnxiōng,breadth of mind,156
心血,xīnxuè,painstaking care,156
心眼儿,xīnyǎnr,heart; one's thoughts; unfounded suspicions,156
心意,xīnyì,intention; kindly feelings,156
芯片,xīnpiàn,microchip,156
辛勤,xīnqín,hard-working,156
辛酸,xinsuān,bitter; sad,156
欣慰,xīnwèi,relieved; gratified,156
欣喜,xīnxǐ,happy,156
欣欣向荣,xīnxīnxiàngróng,flourishing; thriving,156
新潮,xīncháo,n. new trends; adj. trendy,156
新陈代谢,xīnchéndàixiè,metabolism; the new replaces the old,156
新房,xīnfáng,new house; bridal chamber,157
新款,xīnkuǎn,new style,157
新奇,xīnqí,novel; new,157
新生,xīnshēng,adj. newborn; n. rebirth,157
新式,xīnshì,new (type),157
新手,xīnshǒu,novice,157
新颖,xīnyǐng,novel,157
信贷,xìndài,credit,157
信件,xìnjiàn,"letters, papers, printed matter, etc. sent by post or messenger",157
信赖,xìnlài,to trust,157
信誉,xìnyù,reputation,157
兴奋剂,xīngfènjì,stimulant,157
兴建,xīngjiàn,to build,157
兴起,xīngqǐ,to rise,157
星座,xīngzuò,constellation,157
猩猩,xīngxing,orangutan,157
腥,xīng,fishy smelling,157
刑法,xíngfǎ,corporal punishment,157
行使,xíngshǐ,to exercise,157
行政,xíngzhèng,administration,157
行走,xíngzǒu,to walk,157
形形色色,xíngxíngsèsè,of all kinds,157
形影不离,xíngyǐngbùlí,inseparable,157
醒来,xǐnglai,to wake up,157
醒目,xǐngmù,eye-catching,157
醒悟,xǐngwù,to wake up to reality; to come to realize the truth,157
兴高采烈,xìnggāocǎiliè,elated,157
兴致,xìngzhì,interest,157
幸存,xìngcún,to survive,157
幸好,xìnghǎo,fortunately,158
幸亏,xìngkuī,fortunately,158
幸免,xìngmiǎn,to have a narrow escape,158
性价比,xìngjiàbǐ,cost-performance ratio,158
性命,xìngmìng,life,158
性情,xìngqíng,temperament,158
姓氏,xìngshì,surname,158
凶残,xiōngcán,fierce and cruel,158
凶恶,xiōng'è,fierce; ferocious,158
凶狠,xiōnghěn,fierce and malicious,158
凶猛,xiōngměng,ferocious,158
汹涌,xiōngyǒng,turbulent,158
胸膛,xiōngtáng,chest,158
胸有成竹,xiōngyǒuchéngzhú,to have a well-thought-out plan,158
雄厚,xiónghòu,ample,158
休克,xiūkè,to shock,158
休眠,xiūmián,to hibernate,158
休想,xiūxiǎng,don't think (that); don't fool yourself into thinking,158
休养,xiūyǎng,to recuperate,158
修补,xiūbǔ,to repair,158
修长,xiūcháng,slender,158
修订,xiūdìng,to revise,158
修路,xiūlù,n. road repairs; v. to repair the road,158
修正,xiūzhèng,to revise,158
羞愧,xiūkuì,ashamed,158
秀丽,xiùlì,beautiful,158
秀美,xiùměi,elegant,158
袖手旁观,xiùshǒupángguān,to stand by unconcerned; to look on without lifting a finger,158
绣,xiù,to embroider,158
锈,xiù,n. rust; v. get rusty,159
嗅觉,xiùjué,sense of smell,159
须,xū,must,159
虚,xū,adj. empty; abstract; adv. virtually; in vain,159
虚构,xūgòu,to fabricate,159
虚幻,xūhuàn,illusory,159
虚假,xūjiǎ,false,159
虚拟,xūnǐ,v. to simulate; adj. virtual,159
虚弱,xūruò,weak,159
虚伪,xūwěi,hypocritical,159
需,xū,to need,159
徐徐,xúxú,slowly,159
许,xǔ,v. to allow; adv. Perhaps,159
许可证,xǔkězhèng,permit,159
旭日,xùrì,rising sun,159
序,xù,sequence,159
序幕,xùmù,prelude; prologue,159
叙述,xùshù,to narrate,159
酗酒,xùjiǔ,to drink to excess,159
续,xù,to continue,159
絮叨,xùdao,talkative; long-winded,159
宣称,xuānchēng,to assert,159
宣读,xuāndú,to read aloud in public,159
宣告,xuāngào,to proclaim,159
宣誓,xuānshì,to take and oath; to make a vow,159
宣泄,xuānxiè,to vent (emotions); to drain,159
宣言,xuānyán,declaration,159
宣扬,xuānyáng,to advocate,159
喧哗,xuānhuá,v. to make an uproar; adj. noisy,159
喧闹,xuānnào,noisy; lively,159
玄,xuán,mysterious,160
玄机,xuánjī,profound secret,160
悬挂,xuánguà,to suspend,160
悬念,xuánniàn,suspense,160
悬殊,xuánshū,disparate; at odds,160
悬崖,xuányá,cliff,160
旋律,xuánlǜ,melody,160
旋涡,xuánwō,vortex,160
选民,xuǎnmín,voter,160
选项,xuǎnxiàng,option; alternative,160
选用,xuǎnyòng,to select for use,160
炫耀,xuànyào,to show off,160
削弱,xuēruò,to weaken,160
靴子,xuēzi,boots,160
穴位,xuéwèi,acupuncture point,160
学历,xuélì,academic credentials,160
学士,xuéshì,bachelor's degree; one who holds a bachelor's degree,160
学说,xuéshuō,theory,160
学堂,xuétáng,school,160
学业,xuéyè,academic studies,160
学艺,xuéyì,to learn a craft or trade,160
学子,xuézǐ,student,160
雪山,xuěshān,snow-capped mountain,160
雪上加霜,xuěshàngjiāshuāng,to make matters worse; to add insult to injury,160
血脉,xuèmài,blood vessels; lineage,160
血栓,xuèshuān,blood clot; thrombus,160
血压,xuèyā,blood pressure,160
血缘,xuèyuán,blood ties,160
勋章,xūnzhāng,medal,160
熏,xūn,to fumigate,161
熏陶,xūntáo,to influence someone in a subtle way,161
寻,xún,to search,161
寻常,xúncháng,usual,161
寻觅,xúnmì,to look for,161
巡逻,xúnluó,to patrol,161
循序渐进,xúnxùjiànjìn,to proceed step by step,161
训,xùn,to train,161
驯,xùn,to tame,161
逊色,xùnsè,n. inferiority; adj. inferior,161
丫头,yātou,little girl,161
压倒,yādǎo,adj. overwhelming; v. to overwhelm,161
压缩,yāsuō,to compress,161
压抑,yāyì,to depress,161
压制,yāzhì,to suppress,161
押,yā,to pledge,161
鸦雀无声,yāquèwúshēng,utterly quiet,161
牙齿,yáchǐ,teeth,161
牙膏,yágāo,toothpaste,161
芽,yá,bud,161
哑,yǎ,dumb,161
咽喉,yānhóu,throat,161
烟囱,yāncōng,chimney,161
烟火,yānhuǒ,fireworks,161
淹,yān,to flood,161
延,yán,to delay,161
延缓,yánhuǎn,to delay; to postpone,161
延误,yánwù,to incur loss due to delay,161
严谨,yánjǐn,rigorous,161
严禁,yánjìn,to prohibit,161
严峻,yánjùn,severe,162
严密,yánmì,adj. tight; v. to tighten up,162
言辞,yáncí,one's words; wording,162
言论,yánlùn,remarks; discource,162
言行,yánxíng,words and deeds,162
岩石,yánshí,rock,162
炎热,yánrè,(of weather) scorching hot,162
炎症,yánzhèng,inflammation,162
沿岸,yán'àn,coastal area,162
沿途,yántú,n. throughout a journey; adv. along the way,162
沿线,yánxiàn,along the (railway or shipping) line,162
研讨,yántǎo,to deliberate,162
阎王,Yánwang,lord of the underworld,162
衍生,yǎnshēng,to derive,162
掩盖,yǎngài,to cover,162
掩护,yǎnhù,to shield,162
掩饰,yǎnshì,to cover up,162
眼红,yǎnhóng,jealous; furious,162
眼界,yǎnjiè,field of vision,162
眼色,yǎnsè,hint given with the eyes,162
眼神,yǎnshén,the expression in one's eyes,162
眼下,yǎnxià,at the moment,162
演变,yǎnbiàn,to evolve,162
演播室,yǎnbōshì,broadcast studio,162
演技,yǎnjì,acting; performing skills,162
演练,yǎnliàn,to drill,162
演示,yǎnshì,to demonstrate,162
演说,yǎnshuō,v. to deliver a speech; n. speech,162
演习,yǎnxí,to exercise,162
演戏,yǎnxì,acting,162
演艺圈,yǎnyìquān,entertainment industry,163
演绎,yǎnyì,n. inference; v. to infer,163
厌烦,yànfán,to be fed up with,163
厌倦,yànjuàn,to be weary of,163
咽,yàn,to swallow,163
艳丽,yànlì,gorgeous,163
验,yàn,to check,163
验收,yànshōu,to check and accept,163
验证,yànzhèng,to verify,163
焰火,yànhuǒ,fireworks,163
燕子,yànzi,swallow,163
秧歌,yāngge,yangge (a popular rural folk dance),163
扬,yáng,to raise; to hoist,163
阳性,yángxìng,positive,163
杨树,yángshù,poplar,163
洋溢,yángyì,to brim with,163
养活,yǎnghuo,to feed,163
养老金,yǎnglǎojīn,pension,163
养老院,yǎnglǎoyuàn,nursing home,163
养生,yǎngshēng,to keep in good health,163
养殖,yǎngzhí,to breed; to cultivate,163
氧,yǎng,oxygen,163
痒,yǎng,itch,163
样本,yàngběn,sample book,163
样品,yàngpǐn,sample products,163
妖怪,yāoguài,monster,163
邀,yāo,to invite,163
窑,yáo,kiln,163
谣言,yáoyán,rumor,163
摇摆,yáobǎi,to swing,163
摇滚,yáogǔn,rock,164
摇晃,yáo∙huàng,to shake,164
摇篮,yáolán,cradle,164
摇摇欲坠,yáoyáoyùzhuì,tottering; on the verge of collapse,164
遥控,yáokòng,to control remotely,164
遥远,yáoyuǎn,distant,164
药材,yàocái,medicinal material,164
药方,yàofāng,prescription,164
要不,yàobù,or else; otherwise,164
要不是,yàobúshì,if not for…,164
要点,yàodiǎn,main point,164
要害,yàohài,vital part,164
要紧,yàojǐn,important,164
要领,yàolǐng,key aspects,164
要命,yàomìng,extremely; terribly,164
要强,yàoqiáng,ambitious,164
钥匙,yàoshi,key,164
耀眼,yàoyǎn,dazzling,164
椰子,yēzi,coconut,164
也就是说,yějiùshìshuō,that is to say…,164
野餐,yěcān,to have a picnic,164
野炊,yěchuī,to have a cookout,164
野蛮,yěmán,brutal,164
野兽,yěshòu,beast,164
野外,yěwài,field,164
野心,yěxīn,wild ambition,164
野营,yěyíng,to go camping,164
业(服务业）,yè(fúwùyè),industry (service industry),164
业绩,yèjì,track record; performance,164
夜班,yèbān,night shift,164
夜市,yèshì,night market,165
夜晚,yèwǎn,night,165
夜校,yèxiào,night school,165
夜以继日,yèyǐjìrì,day and night,165
夜总会,yèzǒnghuì,nightclub,165
液晶,yèjīng,liquid crystal,165
液体,yètǐ,liquid,165
一把手,yībǎshǒu,first in command; participant,165
一线,yīxiàn,front line,165
一一,yīyī,one by one,165
伊斯兰教,Yīsīlánjiào,Islam,165
衣食住行,yīshízhùxíng,basic necessities of life,165
医务,yīwù,medical affairs,165
依,yī,v. lean against; prep. according to,165
依托,yītuō,to rely on,165
依依不舍,yīyībùshě,reluctant to part,165
一不小心,yí bù xiǎoxīn,to be a bit careless,165
一刹那,yíchànà,in an instant,165
一大早,yídàzǎo,early in the morning,165
一v 不v,yídòngbúdòng,not moving at all,165
一度,yídù,for a time,165
一概,yígài,one and all,165
一概而论,yígài'érlùn,to treat as the same,165
一个劲儿,yígejìnr,persistently,165
一晃,yíhuàng,to flit; to pass in a flash,165
一技之长,yíjìzhīcháng,skill in a specialized area,165
一面,yímiàn,n. one side; adv. simultaneously,165
一目了然,yímùliǎorán,to be clear at a glance,165
一事无成,yíshìwúchéng,to accomplish nothing,165
一瞬间,yíshùnjiān,in a moment,165
一味,yíwèi,blindly,166
一系列,yíxìliè,a series of,166
一阵,yízhèn,a burst; a spell,166
仪表,yíbiǎo,meter; appearance,166
怡然自得,yíránzìdé,to be pleased with oneself,166
姨,yí,aunt,166
移交,yíjiāo,to transfer,166
移植,yízhí,to transplant,166
遗留,yíliú,to leave behind,166
遗弃,yíqì,to abandon,166
遗体,yítǐ,remains (of the dead),166
遗忘,yíwàng,to forget,166
遗物,yíwù,relics,166
遗愿,yíyuàn,last wishes; final wishes of the deceased,166
遗址,yízhǐ,site; ruins,166
遗嘱,yízhǔ,last will and testament,166
疑点,yídiǎn,doubt; uncertain point,166
疑惑,yíhuò,to confuse,166
疑虑,yílǜ,to doubt,166
以,yǐ,"prep. by means of, conj. in order to",166
以免,yǐmiǎn,so as not to,166
以身作则,yǐshēnzuòzé,to lead by example,166
以至于,yǐzhìyú,to the extent that,166
以致,yǐzhì,consequently,166
矣,yǐ,auxiliary word expressing certainty,166
倚,yǐ,lean on,166
一长一短,yì cháng yì duǎn,talkative; long-winded,166
一成不变,yìchéngbúbiàn,unchanging,166
一筹莫展,yìchóumòzhǎn,to be at wits' end,166
一帆风顺,yìfānfēngshùn,smooth sailing,166
一干二净,yìgānèrjìng,thoroughly; completely,167
一鼓作气,yìgǔzuòqì,get sth. done in one vigorous effort,167
一锅粥,yìguōzhōu,a complete mess,167
一回事,yìhuíshì,one and the same thing,167
一家人,yìjiārén,the whole family,167
一经,yìjīng,straightaway,167
一举,yìjǔ,n. one action; adv. in one go,167
一举一动,yìjǔyídòng,every move,167
一卡通,yìkǎtōng,all-purpose card,167
一揽子,yìlǎnzi,wholesale; all-inclusive,167
一连,yìlián,in succession,167
一连串,yìliánchuàn,a series of,167
一毛不拔,yìmáobùbá,stingy; unwilling to give up even a hair,167
一年到头,yìniándàotóu,throughout the year,167
一旁,yìpáng,aside,167
一如既往,yìrújìwǎng,as always,167
一声不吭,yìshēngbùkēng,to not say a word,167
一手,yìshǒu,n. trick; skill; adv. all by oneself,167
一塌糊涂,yìtāhútú,to be a complete mess,167
一体,yìtǐ,the entirety,167
一天到晚,yìtìāndàowǎn,from morning till night; all day long,167
一头,yìtóu,adv. simultaneously; all at once; n. one end,167
一无所有,yìwúsuǒyǒu,to have nothing to one's name,167
一无所知,yìwúsuǒzhī,to know nothing about,167
一心,yìxīn,wholeheartedly,167
一心一意,yìxīnyíyì,single-minded; wholeheartedly,167
一言不发,yìyánbùfā,to keep one's mouth shut,167
一言一行,yìyányìxíng,words and deeds,167
一眼,yìyǎn,at a glance,167
一应俱全,yìyīngjùquán,everything needed is available,167
一早,yìzǎo,early in the morning,168
义工,yìgōng,volunteer; volunteer work,168
议,yì,to discuss,168
议程,yìchéng,agenda,168
议会,yìhuì,parliament,168
议员,yìyuán,parliament member,168
屹立,yìlì,to stand erect,168
亦,yì,as well as,168
异口同声,yìkǒutóngshēng,in unison,168
异想天开,yìxiǎngtiānkāi,to indulge in fantasy,168
异性,yìxìng,adj. heterosexual; n. the opposite sex,168
异议,yìyì,objection,168
抑扬顿挫,yìyángdùncuò,cadence,168
抑郁,yìyù,depressed,168
抑郁症,yìyùzhèng,depression,168
抑制,yìzhì,to inhibit,168
译,yì,to translate,168
易拉罐,yìlāguàn,pull-top can,168
疫苗,yìmiáo,vaccine,168
益处,yìchù,benefit,168
意料,yìliào,to expect,168
意料之外,yìliào zhī wài,unexpected,168
意图,yìtú,intention,168
意向,yìxìàng,intention,168
溢,yì,to overflow,168
毅力,yìlì,will; willpower,168
毅然,yìrán,resolutely,168
因人而异,yīnrén'éryì,different from person to person,168
阴暗,yīn'àn,dark,168
阴性,yīnxìng,feminine,168
音响,yīnxiǎng,audio,169
殷勤,yīnqín,attentive; solicitous,169
银幕,yínmù,screen,169
引发,yǐnfā,to cause,169
引经据典,yǐnjīngjùdiǎn,to quote authoritative works,169
引领,yǐnlǐng,to lead,169
引擎,yǐnqíng,engine,169
引人入胜,yǐnrénrùshèng,fascinating,169
引人注目,yǐnrénzhùmù,striking; eye-catching,169
引入,yǐnrù,to introduce from elsewhere,169
引用,yǐnyòng,to quote,169
引诱,yǐnyòu,to seduce,169
饮水,yǐn shuǐ,drinking water,169
饮用水,yǐnyòngshuǐ,drinking water,169
隐蔽,yǐnbì,v. to hide; adj. hidden,169
隐患,yǐnhuàn,hidden danger,169
隐瞒,yǐnmán,to conceal,169
隐情,yǐnqíng,secrets,169
隐身,yǐnshēn,to make oneself invisible,169
隐形,yǐnxíng,invisible,169
隐性,yǐnxìng,hidden,169
隐约,yǐnyuē,faint,169
瘾,yǐn,addiction,169
印刷术,yìnshuāshù,art of printing,169
印章,yìnzhāng,seal,169
印证,yìnzhèng,v. to prove; n. proof,169
应有尽有,yīngyǒujìnyǒu,to have everything one could wish for,169
英镑,yīngbàng,"pound, GBP",169
英俊,yīngjùn,hansome,169
婴儿,yīng'ér,baby,169
鹰,yīng,eagle,170
迎,yíng,to welcome,170
迎合,yínghé,to cater to,170
荧光,yíngguāng,fluorescence,170
